97.835,74.622,2
51.8,84.916,1
92.023,61.365,2
90.215,87.37,2
83.24,80.792,2
44.505,65.07,1
60.674,75.636,1
91.199,75.802,2
126.32,72.842,2
89.426,84.786,2
60.97,68.33,2
51.686,70.684,1
44.756,80.491,1
69.4,83.064,2
75.304,68.513,1
75.965,84.134,2
49.029,99.148,1
58.496,71.274,1
100.09,92.795,2
78.48,82.416,2
73.652,65.426,2
72.333,73.184,1
58.667,75.001,1
49.468,87.394,1
81.452,62.433,2
82.042,60.017,2
40.316,89.886,1
55.954,89.685,1
52.385,64.802,1
57.291,76.053,1
66.344,81.131,1
59.478,78.685,1
92.22,99.873,2
63.931,77.239,1
69.539,75.393,1
59.177,59.656,1
74.628,86.294,2
62.842,70.195,1
76.3,88.015,2
95.98,76.946,2
63.701,66.126,1
73.307,91.217,2
83.749,94.558,2
110.55,49.623,2
117.12,100.82,2
88.502,89.362,2
89.563,65.604,2
92.713,75.047,2
54.328,85.021,1
111.23,69.298,2
44.055,63.081,1
71.484,63.372,1
70.683,77.651,1
63.956,72.715,1
72.688,59.804,1
68.439,81.543,1
83.417,96.023,2
54.071,76.435,1
94.22,77.711,2
104.27,79.228,2
94.298,79.423,2
62.533,73.719,1
90.471,68.63,2
52.797,73.835,1
58.14,89.51,1
63.213,74.184,1
126.65,73.484,2
71.672,62.811,2
79.041,90,2
51.366,76.037,1
88.656,83.308,2
59.097,53.58,1
48.697,75.509,1
86.362,78.169,2
105.3,56.388,2
56.99,67.561,1
72.229,48.883,1
95.249,76.085,2
49.508,67.071,1
109.65,86.44,2
100.99,102.87,2
57.152,83.501,1
97.617,70.754,2
37.992,93.411,1
78.253,66.62,1
67.143,79.548,1
95.569,77.299,2
109.58,69.052,2
43.876,64.982,1
102.08,77.776,2
47.448,73.072,1
87.712,76.272,2
82.217,65.431,2
107.55,83.292,2
75.719,69.278,1
90.778,74.749,2
43.872,58.457,1
84.504,56.713,2
53.618,64.039,1
91.407,106.54,2
88.029,70.821,2
45.185,81.612,1
102.29,47.026,2
83.107,86.183,2
79.523,91.884,2
67.111,72.344,1
106.32,77.929,2
109.5,65.417,2
71.74,46.945,1
102.15,58.151,2
52.177,80.368,1
89.349,87.128,1
94.181,85.699,2
68.031,93.585,1
68.333,76.634,1
83.588,79.292,2
93.613,72.663,2
93.94,76.527,2
62.686,88.249,1
78.573,76.508,2
68.051,79.604,1
92.375,92.818,2
79.616,93.287,1
71.239,72.463,1
92.858,84.906,2
81.967,68.941,2
47.224,63.588,1
59.535,72.612,1
83.112,85.398,2
58.375,81.092,1
75.637,89.985,2
72.116,77.186,1
108.6,72.223,2
79.175,63.942,1
76.317,80.647,1
39.092,100.75,1
96.631,76.125,2
49.569,59.052,1
86.376,80.327,2
42.836,70.364,1
91.254,101.7,2
50.373,67.127,1
46.973,79.524,1
48.531,60.685,1
61.868,74.109,1
59.352,88.45,1
46.016,76.414,1
94.091,90.048,2
53.108,62.109,1
56.817,65.575,1
102.84,82.275,2
38.413,69.86,1
51.149,85.026,1
99.394,81.216,2
77.504,70.475,2
42.119,68.965,1
103.8,83.451,2
92.732,76.095,2
92.233,110.33,2
59.17,85.312,1
55.77,76.667,1
52.202,80.715,1
61.536,72.618,1
95.779,79.037,2
78.634,73.413,2
43.097,76.878,1
110.29,65.944,2
98.906,70.954,2
80.724,62.414,2
65.129,83.215,1
103.14,95.641,2
82.466,58.181,2
59.498,64.961,1
97.193,81.708,2
94.348,88.336,2
54.692,83.566,1
97.935,78.352,2
91.099,76.258,2
95.387,70.162,2
50.975,64.338,1
71.608,57.931,2
69.372,80.893,1
100.29,94.289,2
75.041,99.885,2
76.233,70.821,1
72.776,70.009,1
49.687,80.956,1
58.904,76.329,1
67.76,80.223,1
92.115,60.374,2
103.63,85.998,2
99.839,94.619,2
110.43,65.99,2
113.49,79.608,2
107.46,79.195,2
51.552,75.882,1
83.03,80.116,2
108.92,97.75,2
59.195,80.541,1
87.795,83.959,2
48.083,74.145,1
51.417,92.857,1
108.43,73.416,2
50.655,75.122,1
71.975,68.035,1
86.975,72.931,2
89.952,90.907,2
38.549,74.351,1
73.274,70.067,2
80.05,100.26,2
